hexId,vertexIndex,edge,pos_x,pos_y,timestamp,hexX,hexY,vx,vy,omega
3,2,bottom,447.0237197338641,600.6796122578628,1759524224784,438.4404800495254,550,-1.129864461135949,-1.7971368621782133,0.02
4,3,right,800.0133316565101,243.64475953574657,1759524225002,750,222.54710075104768,-1.826970297433287,-1.0958291384420087,-0.02
0,2,top,396.2969513202267,-0.728190850246925,1759524226176,418.0704284879169,50,-0.39190167534742004,1.6682834180376296,-0.02
2,5,right,800.8870555253698,207.7542125687467,1759524226993,750,200.77317128796847,-1.903272698848395,-0.23138674646165036,-0.02
4,4,top,454.66398519917,-0.7874441526146256,1759524227643,460.455018461091,50,-1.826970297433287,1.0958291384420087,-0.02
1,1,right,800.0731442868782,332.08262055210565,1759524229427,750,349.74858983811345,-1.355645841038637,-0.35745652337133427,0.02
3,0,top,131.66776958415784,-1.484081484154899,1759524229443,122.63947529972671,50,-1.129864461135949,1.7971368621782133,0.02
3,3,left,-0.6074938396236149,171.27280553810513,1759524230526,50,166.82085093190565,1.1863576841927466,1.7971368621782133,0.02
3,3,left,-0.781070721234947,179.23682961343687,1759524230793,50,190.6961711874232,1.9183188123049515,1.0958291384420087,0.02
0,5,bottom,309.4228496294915,601.2802155717455,1759524231193,300.10747633538364,550,-0.39190167534742004,-1.6682834180376296,-0.02
2,3,left,-0.08202980559455852,110.10434540337077,1759524233126,50,115.62486997999402,1.9984363337908149,-0.23138674646165036,-0.02
4,2,bottom,316.6253242516667,600.2401429793376,1759524233476,327.2436301317343,550,1.1863576841927466,-1.7971368621782133,-0.02
2,0,top,143.44122216286746,-0.22429539061218406,1759524234560,145.37295006434897,50,-0.39190167534742004,1.6682834180376296,-0.02
0,3,bottom,536.6369553410783,600.0189055175828,1759524234809,520.0265548221853,550,1.9183188123049515,-1.0958291384420087,-0.02
0,4,right,801.6311747966179,410.4167173872746,1759524236826,750,417.4158977081063,-1.9183188123049515,-1.0958291384420087,-0.02
2,1,left,-0.7399194294678892,192.83201770717545,1759524236826,50,185.83283738634378,1.423428133090569,-0.35745652337133427,-0.02
3,3,top,578.3314249617703,-1.1177967079363924,1759524237243,572.4945102361497,50,1.1863576841927466,1.7971368621782133,0.02
4,0,right,800.3488490803924,218.8540113203147,1759524238226,750,205.33280212300699,-1.9984363337908149,-0.23138674646165036,-0.02
4,0,right,800.9543875627221,220.41027524701795,1759524238510,750,223.7201388855476,-1.1863576841927466,1.7971368621782133,-0.02
1,3,bottom,141.9389340251492,600.4546383104638,1759524239527,127.95050510639902,550,-0.39190167534742004,-1.6682834180376296,0.02
4,5,bottom,536.133235308592,600.7738381209251,1759524241544,534.0714697571407,550,-1.1863576841927466,-1.7971368621782133,-0.02
0,3,top,96.66740928025746,-0.20234531783566467,1759524242460,101.35288721288586,50,-1.9183188123049515,1.0958291384420087,-0.02
2,2,left,-1.95273126471033,67.14286360609475,1759524242594,50,80.41734996611468,2.098358150480356,-0.23138674646165036,-0.02
1,1,left,-0.3653924161930675,213.77206142033398,1759524242860,50,216.3373105746351,0.41149675911479106,-1.6682834180376296,0.02
0,2,left,-0.14891195698591275,85.10107614271766,1759524242910,50,79.5939025343654,2.014234752920199,1.0958291384420087,-0.02
0,4,top,67.38855233762806,-0.13467254636196913,1759524243611,88.13419139422281,50,0.41149675911479106,1.6682834180376296,-0.02
3,3,right,800.7050783690752,74.46100542720899,1759524243993,750,56.70664992005553,-1.423428133090569,-0.35745652337133427,0.02
3,0,top,675.31644754133,-0.3401986367254821,1759524244593,698.7396085878524,50,-1.423428133090569,0.35745652337133427,0.02
2,0,top,343.6219725773958,-0.3396792183968955,1759524244860,335.2796134431863,50,2.098358150480356,0.23138674646165036,-0.02

--- vertex-edge interactions ---
type,vertexOwnerDate,edgeOwnerDate,vertexIndex,edge,contact_x,contact_y,normal_x,normal_y,timestamp
vertex_edge,2025-09-27,2025-09-26,1,Energy,96.78365526196427,206.97276407484344,0.816957310005437,0.5766981477590163,1759524230693
vertex_edge,2025-09-26,2025-09-25,5,Motivation,270.1584387067625,361.5372637228869,-0.31126392145758053,-0.9503235087057718,1759524232626
vertex_edge,2025-09-26,2025-09-26,0,Emotion,195.10110933378635,125.47025405706609,0.824524761478033,0.5658258722518731,1759524234043
vertex_edge,2025-09-25,2025-09-26,3,Motivation,156.62886891434917,191.7948935426273,0.9725714589941991,0.23260429305989813,1759524236093
vertex_edge,2025-09-27,2025-09-26,2,Energy,526.792176183078,176.657447011213,0.3135357175408819,0.9495764075766226,1759524236459
vertex_edge,2025-09-27,2025-09-26,3,Motivation,685.1413172887808,194.9425867870245,0.9324123243404573,0.3613962609353143,1759524238343
vertex_edge,2025-09-25,2025-09-26,1,Motivation,441.2657113351721,182.645749577978,-0.6122987904053814,0.7906264549508237,1759524239893
vertex_edge,2025-09-25,2025-09-26,1,Motivation,438.12978744553294,181.64151254713488,-0.62801890673712,0.77819808068429,1759524239910
vertex_edge,2025-09-25,2025-09-26,1,Motivation,434.98257193731285,180.57891995447105,-0.6434868193452897,0.7654571923555769,1759524239926
vertex_edge,2025-09-25,2025-09-26,1,Motivation,431.8287704262093,179.45852337347662,-0.6586963162979362,0.75240890670933,1759524239942
vertex_edge,2025-09-25,2025-09-26,1,Motivation,428.71081371978636,178.29560260404864,-0.6734638965476218,0.7392201160999978,1759524239958
vertex_edge,2025-09-25,2025-09-26,1,Motivation,425.7462930496768,177.1384392830193,-0.6872704343498245,0.7264016451444776,1759524239976
vertex_edge,2025-09-25,2025-09-26,1,Motivation,422.41148929546347,175.77615394257927,-0.7025429941069625,0.7116413010999463,1759524239993
vertex_edge,2025-09-25,2025-09-26,1,Motivation,419.2580035138977,174.4283097778101,-0.7167459218965463,0.6973344129215695,1759524240009
vertex_edge,2025-09-25,2025-09-26,1,Motivation,416.26932945932384,173.09685201962716,-0.7300017872364774,0.6834452360149632,1759524240026
vertex_edge,2025-09-25,2025-09-26,1,Motivation,413.0581095205955,171.60702378251054,-0.7440317618774557,0.6681442488845721,1759524240043
vertex_edge,2025-09-25,2025-09-26,1,Motivation,409.96388534361563,170.11286013429338,-0.7573494195188892,0.653009844301295,1759524240059
vertex_edge,2025-09-25,2025-09-26,1,Motivation,406.95182443606546,168.60258858316692,-0.7701296935893628,0.6378873372719936,1759524240076
vertex_edge,2025-09-25,2025-09-26,1,Motivation,403.93391717475214,167.03370940188913,-0.7827574378252604,0.622326918531758,1759524240093
vertex_edge,2025-09-26,2025-09-25,3,Emotion,417.30053026277,190.65408768978676,0.930329639820022,-0.3667243668920134,1759524240093
vertex_edge,2025-09-25,2025-09-26,1,Motivation,401.8067682240855,165.578861342337,-0.7950708371976266,0.6065165816676945,1759524240110
vertex_edge,2025-09-26,2025-09-25,3,Emotion,414.82848645888475,189.11743199020597,0.9227941861395356,-0.3852932519874598,1759524240110
vertex_edge,2025-09-25,2025-09-26,1,Motivation,398.73059657617904,163.90454098415697,-0.8075606495419259,0.5897845346492419,1759524240127
vertex_edge,2025-09-26,2025-09-25,3,Emotion,412.9273140316229,188.05008399317094,0.9145487145363902,-0.4044757702753482,1759524240127
vertex_edge,2025-09-25,2025-09-26,1,Motivation,396.6592180914034,162.4870415430736,-0.8192169641751038,0.5734837099759039,1759524240144
vertex_edge,2025-09-26,2025-09-25,3,Emotion,410.3815819242641,186.46579468565656,0.9062599435832315,-0.42272084719885555,1759524240144
vertex_edge,2025-09-25,2025-09-26,1,Motivation,393.77854551375304,160.85481130166087,-0.8305442922891403,0.556952581954632,1759524240160
vertex_edge,2025-09-26,2025-09-25,3,Emotion,408.52289832663035,185.34379174566675,0.8976072308206163,-0.44079616511324693,1759524240160
